case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
scaled,1,trust-cholesky,step-only,1.00000000e16,true,2,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,1,trust-qr,step-only,1.00000000e16,true,2,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,1,minpack,step-only,1.00000000e16,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"ResidualsZero","[1.0, 1.0, 1.0]"
scaled,1,trust-cholesky,radius-only,1.00000000e16,true,2,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,1,trust-qr,radius-only,1.00000000e16,true,2,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,1,minpack,radius-only,1.00000000e16,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"ResidualsZero","[1.0, 1.0, 1.0]"
svi-width-0.5,0,trust-cholesky,gradient-only,2.53458059e2,false,63,8,3.92523115e-17,8.13722550e-17,9.71445147e-17,4.48983526e-1,5.55111512e-17,5.55111512e-17,true,true,"NumericalNoProgress","[0.039999999999999994, 0.10000000000000002, -0.29999999999999993, 1.5613359565387384e-17, 0.2]"
svi-width-0.5,0,trust-qr,gradient-only,2.53458059e2,false,59,8,2.77555756e-17,5.75388733e-17,2.77555756e-17,1.56173762e-1,1.94289029e-16,1.94289029e-16,true,true,"NumericalNoProgress","[0.04000000000000003, 0.09999999999999996, -0.3, 7.603702613036937e-17, 0.19999999999999982]"
svi-width-0.5,0,minpack,gradient-only,2.53458059e2,false,10,7,4.95536142e-17,1.02727436e-16,1.17961196e-16,3.97184082e-1,2.77555756e-16,2.77555756e-16,true,true,"NoImprovementPossible(""xtol"")","[0.040000000000000015, 0.09999999999999998, -0.2999999999999997, 1.2677258358306206e-16, 0.19999999999999984]"
svi-width-0.5,0,trust-cholesky,step-only,2.53458059e2,true,8,7,3.92523115e-17,8.13722550e-17,9.71445147e-17,4.48983526e-1,5.55111512e-17,5.55111512e-17,true,true,"SolverConverged","[0.039999999999999994, 0.10000000000000002, -0.29999999999999993, 1.5613359565387384e-17, 0.2]"
svi-width-0.5,0,trust-qr,step-only,2.53458059e2,true,8,7,2.94392336e-17,6.10291912e-17,4.16333634e-17,2.20863052e-1,1.94289029e-16,1.94289029e-16,true,true,"SolverConverged","[0.04000000000000003, 0.09999999999999996, -0.3, 6.475762970234574e-17, 0.19999999999999982]"
svi-width-0.5,0,minpack,step-only,2.53458059e2,true,8,7,4.95536142e-17,1.02727436e-16,1.17961196e-16,3.97184082e-1,2.77555756e-16,2.77555756e-16,true,true,"Converged { ftol: false, xtol: true }","[0.040000000000000015, 0.09999999999999998, -0.2999999999999997, 1.2677258358306206e-16, 0.19999999999999984]"
svi-width-0.5,0,trust-cholesky,radius-only,2.53458059e2,true,8,7,3.92523115e-17,8.13722550e-17,9.71445147e-17,4.48983526e-1,5.55111512e-17,5.55111512e-17,true,true,"SolverConverged","[0.039999999999999994, 0.10000000000000002, -0.29999999999999993, 1.5613359565387384e-17, 0.2]"
svi-width-0.5,0,trust-qr,radius-only,2.53458059e2,true,8,7,2.94392336e-17,6.10291912e-17,4.16333634e-17,2.20863052e-1,1.94289029e-16,1.94289029e-16,true,true,"SolverConverged","[0.04000000000000003, 0.09999999999999996, -0.3, 6.475762970234574e-17, 0.19999999999999982]"
svi-width-0.5,0,minpack,radius-only,2.53458059e2,true,8,7,4.95536142e-17,1.02727436e-16,1.17961196e-16,3.97184082e-1,2.77555756e-16,2.77555756e-16,true,true,"Converged { ftol: false, xtol: true }","[0.040000000000000015, 0.09999999999999998, -0.2999999999999997, 1.2677258358306206e-16, 0.19999999999999984]"
svi-width-0.5,1,trust-cholesky,gradient-only,2.53458059e2,false,68,11,4.33333785e-17,8.98325371e-17,1.06385106e-17,1.39494051e-1,4.00000000e-1,1.94289029e-16,true,true,"NumericalNoProgress","[0.04000000000000003, 0.09999999999999996, -0.30000000000000004, 5.3231201167093736e-17, -0.19999999999999982]"
svi-width-0.5,1,trust-qr,gradient-only,2.53458059e2,false,67,11,3.98609107e-17,8.26339156e-17,6.93889390e-18,1.05037512e-1,4.00000000e-1,2.22044605e-16,true,true,"NumericalNoProgress","[0.04, 0.1, -0.29999999999999977, 1.2157390448642336e-16, -0.19999999999999998]"
svi-width-0.5,1,minpack,gradient-only,2.53458059e2,false,17,12,3.60555504e-17,7.47451890e-17,6.93889390e-18,5.07488443e-2,4.00000000e-1,3.33066907e-16,true,true,"NoImprovementPossible(""xtol"")","[0.03999999999999998, 0.10000000000000003, -0.29999999999999966, 1.0876964731068312e-16, -0.20000000000000018]"
svi-width-0.5,1,trust-cholesky,step-only,2.53458059e2,true,14,11,4.33333785e-17,8.98325371e-17,1.06385106e-17,1.39494051e-1,4.00000000e-1,1.94289029e-16,true,true,"SolverConverged","[0.04000000000000003, 0.09999999999999996, -0.30000000000000004, 5.3231201167093736e-17, -0.19999999999999982]"
svi-width-0.5,1,trust-qr,step-only,2.53458059e2,true,14,11,3.98609107e-17,8.26339156e-17,6.93889390e-18,1.05037512e-1,4.00000000e-1,2.22044605e-16,true,true,"SolverConverged","[0.04, 0.1, -0.29999999999999977, 1.2157390448642336e-16, -0.19999999999999998]"
svi-width-0.5,1,minpack,step-only,2.53458059e2,true,16,11,3.60555504e-17,7.47451890e-17,6.93889390e-18,5.07488443e-2,4.00000000e-1,3.33066907e-16,true,true,"Converged { ftol: false, xtol: true }","[0.03999999999999998, 0.10000000000000003, -0.29999999999999966, 1.0876964731068312e-16, -0.20000000000000018]"
svi-width-0.5,1,trust-cholesky,radius-only,2.53458059e2,true,14,11,4.33333785e-17,8.98325371e-17,1.06385106e-17,1.39494051e-1,4.00000000e-1,1.94289029e-16,true,true,"SolverConverged","[0.04000000000000003, 0.09999999999999996, -0.30000000000000004, 5.3231201167093736e-17, -0.19999999999999982]"
svi-width-0.5,1,trust-qr,radius-only,2.53458059e2,true,14,11,3.98609107e-17,8.26339156e-17,6.93889390e-18,1.05037512e-1,4.00000000e-1,2.22044605e-16,true,true,"SolverConverged","[0.04, 0.1, -0.29999999999999977, 1.2157390448642336e-16, -0.19999999999999998]"
svi-width-0.5,1,minpack,radius-only,2.53458059e2,true,16,11,3.60555504e-17,7.47451890e-17,6.93889390e-18,5.07488443e-2,4.00000000e-1,3.33066907e-16,true,true,"Converged { ftol: false, xtol: true }","[0.03999999999999998, 0.10000000000000003, -0.29999999999999966, 1.0876964731068312e-16, -0.20000000000000018]"
svi-width-0.5,2,trust-cholesky,gradient-only,2.53458059e2,false,62,5,4.44305997e-17,9.21071385e-17,7.48595267e-18,1.95828425e-1,2.77555756e-16,2.77555756e-16,true,true,"NumericalNoProgress","[0.04000000000000003, 0.09999999999999995, -0.2999999999999997, 1.7655767720557096e-16, 0.19999999999999982]"
svi-width-0.5,2,trust-qr,gradient-only,2.53458059e2,false,65,8,4.44305997e-17,9.21071385e-17,7.63278329e-17,2.90650610e-1,1.11022302e-16,1.11022302e-16,true,true,"NumericalNoProgress","[0.039999999999999994, 0.10000000000000002, -0.2999999999999999, 2.3782145030417056e-17, 0.2000000000000001]"
svi-width-0.5,2,minpack,gradient-only,2.53458059e2,false,12,7,3.60555504e-17,7.47451890e-17,6.93889390e-18,1.24826078e-1,2.77555756e-16,2.77555756e-16,true,true,"NoImprovementPossible(""xtol"")","[0.039999999999999966, 0.10000000000000006, -0.2999999999999998, 9.419733753116444e-18, 0.2000000000000003]"
svi-width-0.5,2,trust-cholesky,step-only,2.53458059e2,true,6,5,4.44305997e-17,9.21071385e-17,7.48595267e-18,1.95828425e-1,2.77555756e-16,2.77555756e-16,true,true,"SolverConverged","[0.04000000000000003, 0.09999999999999995, -0.2999999999999997, 1.7655767720557096e-16, 0.19999999999999982]"
svi-width-0.5,2,trust-qr,step-only,2.53458059e2,true,6,5,5.50757629e-17,1.14175162e-16,1.17961196e-16,3.34492757e-1,1.66533454e-16,1.66533454e-16,true,true,"SolverConverged","[0.04000000000000001, 0.09999999999999999, -0.2999999999999998, 1.0136745321385054e-16, 0.19999999999999998]"
